sector,job_title,total_employment,annual_median_wage
Construction and Extraction,"Rotary Drill Operators, Oil and Gas",12190,55260
Construction and Extraction,"Service Unit Operators, Oil and Gas",36320,50140
Construction and Extraction,"Excavating and Loading Machine and Dragline Operators, Surface Mining",33670,48350
Construction and Extraction,"Earth Drillers, Except Oil and Gas",19010,51740
Construction and Extraction,"Explosives Workers, Ordnance Handling Experts, and Blasters",4710,56670
Construction and Extraction,Continuous Mining Machine Operators,13500,57360
Construction and Extraction,"Roof Bolters, Mining",1700,60210
Construction and Extraction,"Loading and Moving Machine Operators, Underground Mining",5210,63920
Construction and Extraction,"Underground Mining Machine Operators, All Other",2270,64180
Construction and Extraction,"Rock Splitters, Quarry",3910,46010
Construction and Extraction,"Roustabouts, Oil and Gas",39100,43590
Construction and Extraction,Helpers--Extraction Workers,6910,43110
Construction and Extraction,"Extraction Workers, All Other",6290,51600
"Installation, Maintenance, and Repair","First-Line Supervisors of Mechanics, Installers, and Repairers",559050,73140
"Installation, Maintenance, and Repair","Computer, Automated Teller, and Office Machine Repairers",81440,44910
"Installation, Maintenance, and Repair","Radio, Cellular, and Tower Equipment Installers and Repairers",13020,59720
"Installation, Maintenance, and Repair","Telecommunications Equipment Installers and Repairers, Except Line Installers",168180,59960
"Installation, Maintenance, and Repair",Avionics Technicians,20200,75450
"Installation, Maintenance, and Repair","Electric Motor, Power Tool, and Related Repairers",15390,48260
"Installation, Maintenance, and Repair","Electrical and Electronics Installers and Repairers, Transportation Equipment",8530,73630
"Installation, Maintenance, and Repair","Electrical and Electronics Repairers, Commercial and Industrial Equipment",51650,64030
"Installation, Maintenance, and Repair","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",25440,93720
"Installation, Maintenance, and Repair","Electronic Equipment Installers and Repairers, Motor Vehicles",9450,41600
"Installation, Maintenance, and Repair",Audiovisual Equipment Installers and Repairers,22200,44960
"Installation, Maintenance, and Repair",Security and Fire Alarm Systems Installers,80720,50130
"Installation, Maintenance, and Repair",Aircraft Mechanics and Service Technicians,134070,70010
"Installation, Maintenance, and Repair",Automotive Body and Related Repairers,138760,47670
"Installation, Maintenance, and Repair",Automotive Glass Installers and Repairers,17370,43700
"Installation, Maintenance, and Repair",Automotive Service Technicians and Mechanics,664070,46970
"Installation, Maintenance, and Repair",Bus and Truck Mechanics and Diesel Engine Specialists,271720,54360
"Installation, Maintenance, and Repair",Farm Equipment Mechanics and Service Technicians,35280,48010
"Installation, Maintenance, and Repair","Mobile Heavy Equipment Mechanics, Except Engines",158350,59440
"Installation, Maintenance, and Repair",Rail Car Repairers,19830,62510
"Installation, Maintenance, and Repair",Motorboat Mechanics and Service Technicians,24920,48280
"Installation, Maintenance, and Repair",Motorcycle Mechanics,14700,43370
"Installation, Maintenance, and Repair",Outdoor Power Equipment and Other Small Engine Mechanics,35570,40030
"Installation, Maintenance, and Repair",Bicycle Repairers,13760,36250
"Installation, Maintenance, and Repair",Recreational Vehicle Service Technicians,17190,45030
"Installation, Maintenance, and Repair",Tire Repairers and Changers,99980,34240
"Installation, Maintenance, and Repair",Mechanical Door Repairers,27330,47010
"Installation, Maintenance, and Repair","Control and Valve Installers and Repairers, Except Mechanical Door",46410,64810
"Installation, Maintenance, and Repair","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",374770,51390
"Installation, Maintenance, and Repair",Home Appliance Repairers,29370,46000
"Installation, Maintenance, and Repair",Industrial Machinery Mechanics,386120,59830
"Installation, Maintenance, and Repair","Maintenance Workers, Machinery",62770,53310
"Installation, Maintenance, and Repair",Millwrights,40930,60930
"Installation, Maintenance, and Repair","Refractory Materials Repairers, Except Brickmasons",580,50550
"Installation, Maintenance, and Repair",Electrical Power-Line Installers and Repairers,119510,82340
"Installation, Maintenance, and Repair",Telecommunications Line Installers and Repairers,107670,60580
"Installation, Maintenance, and Repair",Camera and Photographic Equipment Repairers,2120,44060
"Installation, Maintenance, and Repair",Medical Equipment Repairers,58830,57860
"Installation, Maintenance, and Repair",Musical Instrument Repairers and Tuners,6330,38150
"Installation, Maintenance, and Repair",Watch and Clock Repairers,1880,48370
"Installation, Maintenance, and Repair","Precision Instrument and Equipment Repairers, All Other",10810,61690
"Installation, Maintenance, and Repair","Maintenance and Repair Workers, General",1485990,44980
"Installation, Maintenance, and Repair",Wind Turbine Service Technicians,9830,57320
"Installation, Maintenance, and Repair","Coin, Vending, and Amusement Machine Servicers and Repairers",35790,39690
"Installation, Maintenance, and Repair",Commercial Divers,3860,68300
"Installation, Maintenance, and Repair",Locksmiths and Safe Repairers,15240,47400
"Installation, Maintenance, and Repair",Manufactured Building and Mobile Home Installers,3630,36820
"Installation, Maintenance, and Repair",Riggers,19260,54680
"Installation, Maintenance, and Repair",Signal and Track Switch Repairers,6880,81300
"Installation, Maintenance, and Repair","Helpers--Installation, Maintenance, and Repair Workers",93650,35100
"Installation, Maintenance, and Repair","Installation, Maintenance, and Repair Workers, All Other",172980,44500
"Installation, Maintenance, and Repair",First-Line Supervisors of Production and Operating Workers,659930,63510
"Installation, Maintenance, and Repair","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",32140,58430
"Installation, Maintenance, and Repair","Coil Winders, Tapers, and Finishers",10860,43160
"Installation, Maintenance, and Repair","Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers",275510,38580
"Installation, Maintenance, and Repair",Engine and Other Machine Assemblers,50120,50850
"Installation, Maintenance, and Repair",Structural Metal Fabricators and Fitters,58870,47200
"Installation, Maintenance, and Repair",Fiberglass Laminators and Fabricators,21910,38110
"Installation, Maintenance, and Repair",Timing Device Assemblers and Adjusters,370,42290
"Installation, Maintenance, and Repair",Miscellaneous Assemblers and Fabricators,1454130,37280
"Installation, Maintenance, and Repair",Bakers,205300,32780
"Installation, Maintenance, and Repair",Butchers and Meat Cutters,129400,36930
"Installation, Maintenance, and Repair","Meat, Poultry, and Fish Cutters and Trimmers",133460,35070
"Installation, Maintenance, and Repair",Slaughterers and Meat Packers,78660,35240
"Installation, Maintenance, and Repair","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",20010,37790
"Installation, Maintenance, and Repair",Food Batchmakers,166520,36580
"Installation, Maintenance, and Repair",Food Cooking Machine Operators and Tenders,26740,36700
"Installation, Maintenance, and Repair","Food Processing Workers, All Other",47790,34710
"Installation, Maintenance, and Repair","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",63490,39970
"Installation, Maintenance, and Repair","Forging Machine Setters, Operators, and Tenders, Metal and Plastic",10650,46540
"Installation, Maintenance, and Repair","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",27900,46310
"Installation, Maintenance, and Repair","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",182460,39340
"Installation, Maintenance, and Repair","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",6470,42450
"Installation, Maintenance, and Repair","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",73800,38910
"Installation, Maintenance, and Repair","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",19410,47020
"Installation, Maintenance, and Repair","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",15480,46870
"Installation, Maintenance, and Repair",Machinists,316860,48510
"Installation, Maintenance, and Repair",Metal-Refining Furnace Operators and Tenders,19320,50280
"Installation, Maintenance, and Repair","Pourers and Casters, Metal",6070,45070
"Installation, Maintenance, and Repair","Model Makers, Metal and Plastic",3350,57620
"Installation, Maintenance, and Repair","Patternmakers, Metal and Plastic",2230,54970
"Installation, Maintenance, and Repair",Foundry Mold and Coremakers,11330,40120
"Installation, Maintenance, and Repair","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",165820,37050
"Installation, Maintenance, and Repair","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",137060,39210
"Installation, Maintenance, and Repair",Tool and Die Makers,61730,59800
"Installation, Maintenance, and Repair","Welders, Cutters, Solderers, and Brazers",408990,47540
"Installation, Maintenance, and Repair","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",30940,44920
"Installation, Maintenance, and Repair","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",15600,40900
"Installation, Maintenance, and Repair","Layout Workers, Metal and Plastic",6890,58260
"Installation, Maintenance, and Repair","Plating Machine Setters, Operators, and Tenders, Metal and Plastic",32050,37900
"Installation, Maintenance, and Repair","Tool Grinders, Filers, and Sharpeners",5320,41940
"Installation, Maintenance, and Repair","Metal Workers and Plastic Workers, All Other",21030,38340
"Installation, Maintenance, and Repair",Prepress Technicians and Workers,25250,43560
"Installation, Maintenance, and Repair",Printing Press Operators,150010,39350
"Installation, Maintenance, and Repair",Print Binding and Finishing Workers,39030,36970
"Installation, Maintenance, and Repair",Laundry and Dry-Cleaning Workers,175730,29060
"Installation, Maintenance, and Repair","Pressers, Textile, Garment, and Related Materials",28570,29690
"Installation, Maintenance, and Repair",Sewing Machine Operators,116750,31740
"Installation, Maintenance, and Repair",Shoe and Leather Workers and Repairers,8860,32460
"Installation, Maintenance, and Repair",Shoe Machine Operators and Tenders,2960,33060
"Installation, Maintenance, and Repair","Sewers, Hand",3440,31530
"Installation, Maintenance, and Repair","Tailors, Dressmakers, and Custom Sewers",16870,34280
"Installation, Maintenance, and Repair",Textile Bleaching and Dyeing Machine Operators and Tenders,6640,32680
"Installation, Maintenance, and Repair","Textile Cutting Machine Setters, Operators, and Tenders",10700,34420
"Installation, Maintenance, and Repair","Textile Knitting and Weaving Machine Setters, Operators, and Tenders",16900,35750
"Installation, Maintenance, and Repair","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",23830,33720
"Installation, Maintenance, and Repair","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",14460,39860
"Installation, Maintenance, and Repair",Fabric and Apparel Patternmakers,3070,60320
"Installation, Maintenance, and Repair",Upholsterers,26990,39600
"Installation, Maintenance, and Repair","Textile, Apparel, and Furnishings Workers, All Other",12810,32640
"Installation, Maintenance, and Repair",Cabinetmakers and Bench Carpenters,95980,38810
"Installation, Maintenance, and Repair",Furniture Finishers,14990,37960
"Installation, Maintenance, and Repair","Model Makers, Wood",720,46940
"Installation, Maintenance, and Repair","Patternmakers, Wood",330,44290
"Installation, Maintenance, and Repair","Sawing Machine Setters, Operators, and Tenders, Wood",46400,36270
"Installation, Maintenance, and Repair","Woodworking Machine Setters, Operators, and Tenders, Except Sawing",63680,36830
"Installation, Maintenance, and Repair","Woodworkers, All Other",9120,35370
"Installation, Maintenance, and Repair",Nuclear Power Reactor Operators,5450,115870
"Installation, Maintenance, and Repair",Power Distributors and Dispatchers,9380,101650
"Installation, Maintenance, and Repair",Power Plant Operators,31590,93060
"Installation, Maintenance, and Repair",Stationary Engineers and Boiler Operators,31470,67120
"Installation, Maintenance, and Repair",Water and Wastewater Treatment Plant and System Operators,119350,51600
"Installation, Maintenance, and Repair",Chemical Plant and System Operators,18710,82670
"Installation, Maintenance, and Repair",Gas Plant Operators,14290,79460
"Installation, Maintenance, and Repair","Petroleum Pump System Operators, Refinery Operators, and Gaugers",31360,85090
"Installation, Maintenance, and Repair","Plant and System Operators, All Other",15370,57470
"Installation, Maintenance, and Repair",Chemical Equipment Operators and Tenders,115370,49330
"Installation, Maintenance, and Repair","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",52470,46250
"Installation, Maintenance, and Repair","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",27320,43290
"Installation, Maintenance, and Repair","Grinding and Polishing Workers, Hand",14190,36960
"Installation, Maintenance, and Repair","Mixing and Blending Machine Setters, Operators, and Tenders",108900,43410
"Installation, Maintenance, and Repair","Cutters and Trimmers, Hand",8250,36130
"Installation, Maintenance, and Repair","Cutting and Slicing Machine Setters, Operators, and Tenders",54110,39880
"Installation, Maintenance, and Repair","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",58740,39480
"Installation, Maintenance, and Repair","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",15030,44530
"Installation, Maintenance, and Repair","Inspectors, Testers, Sorters, Samplers, and Weighers",579740,43900
"Installation, Maintenance, and Repair",Jewelers and Precious Stone and Metal Workers,26280,47140
"Installation, Maintenance, and Repair",Dental Laboratory Technicians,33330,46050
"Installation, Maintenance, and Repair",Medical Appliance Technicians,15680,42160
"Installation, Maintenance, and Repair",Ophthalmic Laboratory Technicians,20200,36810
"Installation, Maintenance, and Repair",Packaging and Filling Machine Operators and Tenders,369330,36750
"Installation, Maintenance, and Repair","Painting, Coating, and Decorating Workers",11990,38270
"Installation, Maintenance, and Repair","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",152120,43960
"Installation, Maintenance, and Repair",Semiconductor Processing Technicians,23860,44690
"Installation, Maintenance, and Repair",Photographic Process Workers and Processing Machine Operators,5380,36280
"Installation, Maintenance, and Repair",Computer Numerically Controlled Tool Operators,179360,46760
"Installation, Maintenance, and Repair",Computer Numerically Controlled Tool Programmers,28120,60800
"Installation, Maintenance, and Repair",Adhesive Bonding Machine Operators and Tenders,11320,38780
"Installation, Maintenance, and Repair","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",13200,37190
"Installation, Maintenance, and Repair",Cooling and Freezing Equipment Operators and Tenders,6420,42890
"Installation, Maintenance, and Repair",Etchers and Engravers,8400,37980
"Installation, Maintenance, and Repair","Molders, Shapers, and Casters, Except Metal and Plastic",39060,39590
"Installation, Maintenance, and Repair","Paper Goods Machine Setters, Operators, and Tenders",92050,45710
"Installation, Maintenance, and Repair",Tire Builders,18360,51650
"Installation, Maintenance, and Repair",Helpers--Production Workers,190680,34670
"Installation, Maintenance, and Repair","Production Workers, All Other",252660,35490
Transportation and Material Moving,Aircraft Cargo Handling Supervisors,7950,53490
Transportation and Material Moving,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",591760,57860
Transportation and Material Moving,"Airline Pilots, Copilots, and Flight Engineers",89580,211790
Transportation and Material Moving,Commercial Pilots,48750,103910
Transportation and Material Moving,Air Traffic Controllers,21250,132250
Transportation and Material Moving,Airfield Operations Specialists,14760,49600
Transportation and Material Moving,Flight Attendants,108480,63760
Transportation and Material Moving,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",9910,30380
Transportation and Material Moving,Driver/Sales Workers,489510,32690
Transportation and Material Moving,Heavy and Tractor-Trailer Truck Drivers,1984180,49920
Transportation and Material Moving,Light Truck Drivers,1059840,40410
Transportation and Material Moving,"Bus Drivers, School",366550,41270
Transportation and Material Moving,"Bus Drivers, Transit and Intercity",141530,50890
Transportation and Material Moving,Shuttle Drivers and Chauffeurs,201070,32800
Transportation and Material Moving,Taxi Drivers,13820,30670
Transportation and Material Moving,"Motor Vehicle Operators, All Other",49340,33210
Transportation and Material Moving,Locomotive Engineers,36440,74570
Transportation and Material Moving,"Rail Yard Engineers, Dinkey Operators, and Hostlers",2680,56340
Transportation and Material Moving,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",14210,67540
Transportation and Material Moving,Railroad Conductors and Yardmasters,40940,68180
Transportation and Material Moving,Subway and Streetcar Operators,9120,88260
Transportation and Material Moving,"Rail Transportation Workers, All Other",2240,42280
Transportation and Material Moving,Sailors and Marine Oilers,28500,47490
Transportation and Material Moving,"Captains, Mates, and Pilots of Water Vessels",34940,95210
Transportation and Material Moving,Motorboat Operators,3110,41430
Transportation and Material Moving,Ship Engineers,8650,87300
Transportation and Material Moving,Bridge and Lock Tenders,3690,47280
Transportation and Material Moving,Parking Attendants,105290,30570
Transportation and Material Moving,Automotive and Watercraft Service Attendants,99600,30850
Transportation and Material Moving,Aircraft Service Attendants,19720,37050
Transportation and Material Moving,Traffic Technicians,7310,50050
Transportation and Material Moving,Transportation Inspectors,24420,79570
Transportation and Material Moving,Passenger Attendants,13200,34630
Transportation and Material Moving,"Transportation Workers, All Other",11590,37430
Transportation and Material Moving,Conveyor Operators and Tenders,27780,36890
Transportation and Material Moving,Crane and Tower Operators,45210,61340
Transportation and Material Moving,Dredge Operators,940,47090
Transportation and Material Moving,Hoist and Winch Operators,2440,58950
Transportation and Material Moving,Industrial Truck and Tractor Operators,780890,41230
Transportation and Material Moving,Cleaners of Vehicles and Equipment,359530,31000
Transportation and Material Moving,"Laborers and Freight, Stock, and Material Movers, Hand",2934050,36110
Transportation and Material Moving,Machine Feeders and Offbearers,51010,38040
Transportation and Material Moving,"Packers and Packagers, Hand",653870,32920
Transportation and Material Moving,Stockers and Order Fillers,2842060,34220
Transportation and Material Moving,Gas Compressor and Gas Pumping Station Operators,3740,59990
Transportation and Material Moving,"Pump Operators, Except Wellhead Pumpers",10870,55860
Transportation and Material Moving,Wellhead Pumpers,14550,63280
Transportation and Material Moving,Refuse and Recyclable Material Collectors,132240,43540
Transportation and Material Moving,"Tank Car, Truck, and Ship Loaders",12470,53930
Transportation and Material Moving,"Material Moving Workers, All Other",24880,38800
